,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,28.986992835998535,16.337133646011353,0.9,8,3,64,46,512,1536,0.05885467790655129,0.9267301232254194,0.18867779271296387,0.7803898963078708,0.005642933886685902,32,8,10
1,1,1,20.65442991256714,16.10763907432556,0.805,9,3,32,41,128,1536,0.019078395971878843,0.9898798110383258,0.1624524759903601,0.14728029387889363,0.00046237987194946875,32,8,10
2,1,2,26.374388933181763,20.459295511245728,0.92,8,4,32,12,256,256,0.06045288066276326,0.988409762193642,0.16741476018723783,0.6485772913215595,0.004473530154751301,32,8,10
3,1,3,17.09590768814087,21.88896894454956,0.63,1,4,64,44,512,1280,0.07438704343025021,0.9631223793021969,0.1990783291800175,0.19412979191368898,0.000604350266672065,32,8,10
4,1,4,13.788647890090942,16.411970853805542,0.62,1,3,128,42,256,768,0.061295015616094316,0.9757581705023914,0.09420237207922091,0.8254652235995757,0.008651305602430177,32,8,10
5,1,5,18.981088876724243,21.23577117919922,0.745,2,4,64,32,768,768,0.07720354734966586,0.9048721711352853,0.0628018754155597,0.42899624432384476,0.0034452457787340763,32,8,10
6,1,6,15.748233079910278,10.444434881210327,0.935,9,2,32,14,256,1536,0.020566687709651893,0.9120393196104754,0.08645222868196017,0.8969918557352522,0.008562961021228051,32,8,10
7,1,7,21.569605827331543,22.330294847488403,0.1,2,4,128,42,512,1280,0.09590917646285592,0.9120806294565471,0.15455469063664873,0.9634069436403004,0.0016331533977973394,32,8,10
8,1,8,17.31218409538269,16.84009075164795,0.75,2,3,64,49,512,1280,0.04845737448083815,0.9620918242343586,0.10015225398848726,0.3084403813281268,0.0032331895759452963,32,8,10
9,1,9,31.575988054275513,11.261885166168213,0.915,8,2,64,47,256,512,0.0035923357441419055,0.96592730461712,0.1965786409146028,0.2450270553186794,0.0053704901287784075,32,8,10
10,1,10,15.252547025680542,20.853465795516968,0.645,1,4,64,32,768,768,0.07720354734966586,0.9048721711352853,0.0628018754155597,0.42899624432384476,0.0034452457787340763,32,8,10
11,1,11,20.655416250228882,22.39592432975769,0.765,2,4,64,44,512,1280,0.07438704343025021,0.9631223793021969,0.1990783291800175,0.19412979191368898,0.000604350266672065,32,8,10
12,1,12,30.485232830047607,11.214505434036255,0.895,8,2,64,47,256,512,0.0035923357441419055,0.988409762193642,0.16741476018723783,0.6485772913215595,0.004473530154751301,32,8,10
13,1,13,27.42082405090332,20.852760076522827,0.885,8,4,32,12,256,256,0.06045288066276326,0.96592730461712,0.1965786409146028,0.2450270553186794,0.0053704901287784075,32,8,10
14,1,14,13.215868949890137,16.18087410926819,0.67,1,3,128,42,256,768,0.061295015616094316,0.9757581705023914,0.09420237207922091,0.8254652235995757,0.008651305602430177,32,8,10
15,2,0,15.95229697227478,10.20175576210022,0.92,7,2,32,14,256,1536,0.020566687709651893,0.9120393196104754,0.08645222868196017,0.8969918557352522,0.008562961021228051,32,8,10
16,2,1,25.352856874465942,21.081210374832153,0.895,8,4,32,12,256,256,0.06045288066276326,0.988409762193642,0.16741476018723783,0.6485772913215595,0.004473530154751301,32,8,10
17,2,2,31.086563110351562,10.944850444793701,0.94,8,2,64,47,256,512,0.0035923357441419055,0.96592730461712,0.1965786409146028,0.2450270553186794,0.0053704901287784075,32,8,10
18,2,3,29.175915002822876,15.516868829727173,0.815,5,3,64,46,512,1536,0.05885467790655129,0.9267301232254194,0.18867779271296387,0.7803898963078708,0.005642933886685902,32,8,10
19,2,4,20.790634870529175,16.299160718917847,0.805,4,3,32,41,128,1536,0.019078395971878843,0.9898798110383258,0.1624524759903601,0.14728029387889363,0.00046237987194946875,32,8,10
20,2,5,13.8259859085083,16.563880443572998,0.645,1,3,128,48,256,768,0.061295015616094316,0.9757581705023914,0.09420237207922091,0.8254652235995757,0.008651305602430177,32,8,10
21,2,6,17.235315084457397,16.301440000534058,0.81,2,3,64,49,512,1280,0.04845737448083815,0.9426559687652387,0.10015225398848726,0.3084403813281268,0.0032331895759452963,32,8,10
22,2,7,18.966688871383667,20.667718648910522,0.715,2,4,64,33,768,768,0.07720354734966586,0.9048721711352853,0.19521728281048883,0.42899624432384476,0.0034452457787340763,32,8,10
23,2,8,16.721440076828003,22.019710540771484,0.565,1,4,64,44,512,1280,0.07438704343025021,0.9631223793021969,0.1990783291800175,0.19412979191368898,0.000604350266672065,32,8,10
24,2,9,22.99928903579712,23.35031509399414,0.63,2,4,128,42,512,1280,0.09590917646285592,0.9120806294565471,0.15455469063664873,0.9634069436403004,0.0016331533977973394,32,8,10
25,2,10,27.763432264328003,20.68828582763672,0.92,8,4,32,12,512,1280,0.04845737448083815,0.9620918242343586,0.10015225398848726,0.3084403813281268,0.0032331895759452963,32,8,10
26,2,11,18.297368049621582,16.585620641708374,0.665,2,3,64,49,256,256,0.06045288066276326,0.988409762193642,0.16741476018723783,0.6485772913215595,0.004473530154751301,32,8,10
27,2,12,30.27377676963806,17.802908420562744,0.905,5,3,64,46,512,1536,0.05885467790655129,0.9267301232254194,0.18867779271296387,0.7803898963078708,0.0053704901287784075,32,8,10
28,2,13,33.01876187324524,11.973179578781128,0.92,8,2,64,47,256,512,0.0035923357441419055,0.96592730461712,0.1965786409146028,0.2450270553186794,0.005642933886685902,32,8,10
29,2,14,31.907328844070435,16.291325092315674,0.87,5,3,64,46,512,1280,0.07438704343025021,0.9631223793021969,0.1990783291800175,0.19412979191368898,0.000604350266672065,32,8,10
30,2,15,16.945806980133057,21.916639804840088,0.455,1,4,64,44,512,1536,0.05885467790655129,0.9267301232254194,0.18867779271296387,0.7803898963078708,0.005642933886685902,32,8,10
31,2,16,19.110837936401367,21.109020709991455,0.78,2,4,64,33,768,768,0.07720354734966586,0.9048721711352853,0.19521728281048883,0.42899624432384476,0.0034452457787340763,32,8,10
32,2,17,18.15331768989563,16.462854146957397,0.69,2,3,64,49,512,1280,0.04845737448083815,0.9426559687652387,0.10015225398848726,0.3084403813281268,0.0032331895759452963,32,8,10
33,2,18,13.996273279190063,17.50792622566223,0.49,1,3,128,48,256,768,0.061295015616094316,0.9757581705023914,0.09420237207922091,0.8254652235995757,0.008651305602430177,32,8,10
34,2,19,19.92292881011963,21.497809886932373,0.67,2,4,64,33,768,768,0.07720354734966586,0.9048721711352853,0.19521728281048883,0.42899624432384476,0.0034452457787340763,32,8,10
35,2,0,16.15513801574707,10.368845462799072,0.88,7,2,32,14,256,1536,0.020566687709651893,0.9120393196104754,0.08645222868196017,0.8969918557352522,0.008562961021228051,32,8,10
36,2,1,32.56654500961304,11.018649339675903,0.915,8,2,64,47,256,512,0.0035923357441419055,0.96592730461712,0.1965786409146028,0.2450270553186794,0.0053704901287784075,32,8,10
37,2,2,23.669368982315063,21.102646589279175,0.895,7,4,32,12,256,256,0.06045288066276326,0.988409762193642,0.16741476018723783,0.6485772913215595,0.004473530154751301,32,8,10
38,2,3,30.280552864074707,16.155890226364136,0.91,5,3,64,46,512,1536,0.05885467790655129,0.9267301232254194,0.18867779271296387,0.7803898963078708,0.005642933886685902,32,8,10
39,2,4,21.214849948883057,15.661779642105103,0.82,4,3,32,41,128,1536,0.019078395971878843,0.9898798110383258,0.1624524759903601,0.14728029387889363,0.00046237987194946875,32,8,10
40,2,5,17.5018789768219,16.77430033683777,0.74,2,3,64,49,512,1280,0.04845737448083815,0.9426559687652387,0.10015225398848726,0.3084403813281268,0.0032331895759452963,32,8,10
41,2,6,14.815891027450562,16.497809886932373,0.545,1,3,128,48,256,768,0.061295015616094316,0.9757581705023914,0.09420237207922091,0.8254652235995757,0.008651305602430177,32,8,10
42,2,7,18.911744117736816,20.728694200515747,0.745,2,4,64,33,768,768,0.07720354734966586,0.9048721711352853,0.19521728281048883,0.42899624432384476,0.0034452457787340763,32,8,10
43,2,8,16.703962087631226,21.6464102268219,0.595,1,4,64,44,512,1280,0.07438704343025021,0.9631223793021969,0.1990783291800175,0.19412979191368898,0.000604350266672065,32,8,10
44,2,9,21.725024700164795,21.160115003585815,0.735,2,4,128,42,512,1280,0.09590917646285592,0.9120806294565471,0.15455469063664873,0.9634069436403004,0.0016331533977973394,32,8,10
