,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,133.43035411834717,11.901620388031006,0.82,6,4,64,34,768,1536,0.038234510043824554,0.9166291624835359,0.12440818778319201,0.4451158627679537,0.0019710993606861533,32,8,10
1,1,1,154.6080939769745,8.930474758148193,0.823,7,3,32,37,256,512,0.05947216297522543,0.9619488660205625,0.15105109136973963,0.2266119067025037,0.0026097281039622346,32,8,10
2,1,2,78.62947821617126,5.963714838027954,0.821,6,2,64,48,256,512,0.06819783296174566,0.9141667078387151,0.08691748957031523,0.376146181600269,0.005075091448036075,32,8,10
3,1,3,78.3323335647583,6.00878119468689,0.838,6,2,32,33,256,1024,0.0069080088502614274,0.9034129144908781,0.13944783947650488,0.8976670265012677,0.004719604353837195,32,8,10
4,1,4,90.59685182571411,8.880948305130005,0.855,7,3,64,29,512,1024,0.061286403067147256,0.9168004286499564,0.17694802607374682,0.8790706931685779,0.007340849570503188,32,8,10
5,1,5,56.57006549835205,9.211287260055542,0.761,4,3,64,3,512,512,0.016339691028942532,0.9550387859747453,0.10332620884061428,0.11014085325223695,0.004898963905459018,32,8,10
6,1,6,133.72616505622864,12.030902624130249,0.834,9,4,128,6,256,256,0.024359188351945806,0.9398235103698405,0.10917922454488528,0.39605929755147606,0.006619039996086813,32,8,10
7,1,7,67.81364870071411,8.884604930877686,0.82,5,3,32,18,512,512,0.046542208473569026,0.9302131749895391,0.09464124557576618,0.41548536678427994,0.009843636426692967,32,8,10
8,1,8,67.81784534454346,8.918912649154663,0.802,5,3,32,5,512,256,0.06031122667881102,0.9393859467399516,0.0665343760388888,0.6490689755696049,0.0005861674824415899,32,8,10
9,1,9,79.2369122505188,8.834743738174438,0.817,6,3,32,14,512,1792,0.0025173276490566884,0.9856430887967907,0.1746158731062525,0.4557683416366136,0.0029520176164255937,32,8,10
10,1,10,45.08484697341919,8.911405324935913,0.801,3,3,64,14,128,1792,0.01818324426333722,0.9346158250445853,0.1662742559471214,0.6845934559891288,0.003965419888178718,32,8,10
