,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,56.821733713150024,8.898633480072021,0.966,4,3,64,44,512,1280,0.025533749296267012,0.9405677557898006,0.144277815373735,0.5260369431638908,0.009296146117011097,32,8,10
1,1,1,67.5285370349884,11.54089617729187,0.952,3,4,32,22,128,1280,0.047642386110427155,0.9833833462784661,0.10595208854467976,0.6483510207374593,0.006327965698864895,32,8,10
2,1,2,44.716150760650635,5.830221891403198,0.965,4,2,32,29,512,256,0.09074706856349714,0.9146575337598426,0.08728110842686676,0.23575629434897588,0.005580929738659903,32,8,10
3,1,3,67.44725751876831,11.494980812072754,0.946,3,4,64,14,512,512,0.01790785176305865,0.9161112752685328,0.10273136319015416,0.36050995248990336,0.0029870775781884393,32,8,10
4,1,4,11.548604011535645,5.871988773345947,0.776,1,2,3,18,512,768,0.09036467342899485,0.9281123603147676,0.10050819102419808,0.8311629523675111,0.001130469768930494,32,8,10
5,1,5,33.777578830718994,5.825026273727417,0.96,3,2,32,44,768,512,0.02275852263572632,0.931920841598911,0.11906565134777941,0.6346614273708501,0.002295667580612764,32,8,10
6,1,6,89.92430281639099,11.467479228973389,0.966,4,4,64,17,768,1024,0.08719027080671211,0.9328695028645358,0.10697856255942967,0.6899981397094249,0.008614390560489982,32,8,10
7,1,7,23.03628635406494,11.504576444625854,0.854,1,4,32,18,768,1536,0.006370287393922242,0.9469715426567177,0.14432962602198657,0.4276249247391708,0.00747005006494105,32,8,10
8,1,8,56.09877061843872,6.015108585357666,0.97,5,2,128,16,128,256,0.07425591959955945,0.926764066296537,0.1376253632765177,0.21612860387992616,0.009676141394779058,32,8,10
9,1,9,34.02884316444397,8.681931018829346,0.944,2,3,32,32,256,1536,0.0468413735053005,0.9349441326693327,0.14522541025612096,0.8816680694978529,0.0022374292849816273,32,8,10
10,1,10,56.14078116416931,5.794620990753174,0.971,5,2,128,46,256,512,0.06850591861206769,0.9335545899838487,0.13587470474961644,0.6685547238744459,0.002333884576029503,32,8,10
11,1,11,44.97245717048645,5.807323455810547,0.955,4,2,32,19,768,1792,0.06525088650384607,0.9397797228892537,0.15565582395836258,0.30863642730409535,0.0020701098146340157,32,8,10
12,1,12,22.40988278388977,8.645969152450562,0.875,1,3,32,10,128,1536,0.04536741329823961,0.9679086726757519,0.16736546177538347,0.9154329857231238,0.006659258375829239,32,8,10
13,1,13,11.545501947402954,5.813182592391968,0.878,1,2,64,5,128,512,7.592237381580239e-05,0.961310007250063,0.13018009322926455,0.23433434354857696,0.001903019768501507,32,8,10
14,1,14,67.27535510063171,5.811723232269287,0.967,6,2,32,34,128,1280,0.040153865500712774,0.9040828289442081,0.173960781244786,0.7010130206481328,0.0028114527663047257,32,8,10
15,1,15,23.029357433319092,11.601007223129272,0.936,1,4,128,19,768,1024,0.019703351119410552,0.9612262834041808,0.06705682529561764,0.742055902274819,0.0019193152753454229,32,8,10
16,1,16,179.18938302993774,11.480213642120361,0.965,8,4,128,38,128,256,0.007944006674706953,0.9155426607763577,0.15245675001024123,0.22619237229617198,0.00022394836911924745,32,8,10
17,1,17,67.26267647743225,5.803181171417236,0.96,6,2,64,47,256,256,0.06156336914956392,0.9777908186188413,0.1575288470932408,0.8091154551294856,0.00646754832651259,32,8,10
18,1,18,78.44687247276306,5.8257365226745605,0.965,9,2,32,47,768,1792,0.024143775589071208,0.965839787433396,0.16142910125584292,0.9141684917062198,0.0008789031499304646,32,8,10
19,1,19,153.83682370185852,8.682868719100952,0.965,7,3,32,16,512,1280,0.01436046650517564,0.9659007600579887,0.15589068076268214,0.9192887526246432,0.006049877195903315,32,8,10
20,1,20,44.31974124908447,8.646979570388794,0.939,2,3,64,5,768,768,0.04640478170811977,0.940243155412524,0.19589675907043486,0.25288468940664305,0.004735628334496691,32,8,10
21,1,21,112.4622118473053,11.503431797027588,0.963,5,4,32,40,768,256,0.08788315894985517,0.9014898816421405,0.09107796180665126,0.37299292729348965,0.003774051130464702,32,8,10
22,1,22,22.731090545654297,5.806422233581543,0.96,2,2,64,14,768,1280,0.09984066282648088,0.9353114508159862,0.070908454652424,0.572599100537475,0.0011447972528332076,32,8,10
23,1,23,153.6679244041443,8.681535482406616,0.963,8,3,64,19,256,768,0.05649528895753572,0.9444465718208066,0.05176364985329102,0.16990950699636745,0.004531435847529621,32,8,10
24,1,24,66.10967707633972,8.671985149383545,0.963,3,3,128,28,128,1280,0.08875532993038367,0.9617962622180289,0.18129796481665467,0.12600852879795815,0.0025285404632430196,32,8,10
25,1,25,33.8517484664917,5.790807485580444,0.965,3,2,128,39,256,1280,0.03772062588734434,0.9874895552409019,0.17407465177969741,0.8131949696154284,0.00757361630560378,32,8,10
26,1,26,112.2975811958313,11.494588851928711,0.958,5,4,128,38,768,768,0.0410612251687129,0.9698464714277768,0.18282177756239754,0.12205321019568745,0.004594949085392242,32,8,10
27,1,27,157.03313398361206,11.510203123092651,0.968,7,4,128,5,768,1792,0.009981037259839511,0.9654439000525052,0.1467929175308607,0.9715793537272754,0.006909068853889947,32,8,10
28,1,28,45.36035394668579,11.461774110794067,0.956,2,4,128,21,768,1792,0.07560555887143672,0.9141598546572518,0.06970914669968488,0.2502773027485322,0.007488776959776088,32,8,10
29,1,29,153.54188632965088,8.689382553100586,0.969,9,3,128,3,4,1280,0.01614548592492313,0.9757533901442548,0.0947673068500578,0.653505780265389,0.0006206650903365417,32,8,10
30,1,30,78.58459162712097,5.838263988494873,0.969,9,2,128,15,128,1024,0.0026424349954505457,0.9587603711791671,0.07739292754912655,0.9071445113096694,0.0009511171885132393,32,8,10
31,1,31,78.53247046470642,5.809961795806885,0.971,7,2,128,36,128,1536,0.05789418203246947,0.9253021594589113,0.1672030248536241,0.24504084008349092,0.007734151853719881,32,8,10
32,1,32,88.00531387329102,8.628881454467773,0.107,5,3,128,4,512,1792,0.06362728980215092,0.91041632553635,0.05,0.9507296098659311,0.009898914426773054,32,8,10
33,1,33,45.03859496116638,5.809391736984253,0.972,4,2,128,42,256,768,0.09126726083307501,0.9559336361324119,0.05786644894961794,0.4295302789743114,0.0015568410199637804,32,8,10
34,1,34,78.50544142723083,5.816638708114624,0.964,7,2,64,3,512,768,0.09766056804812452,0.9824583125026718,0.0835896115459433,0.7436582054482098,0.0015392483004420953,32,8,10
35,1,35,11.558841705322266,5.818312644958496,0.903,1,2,64,13,768,1280,0.04392810749758976,0.9044523298151231,0.06297096192833138,0.33825198326180195,0.0016880010177769368,32,8,10
36,1,36,87.99496817588806,8.65916895866394,0.964,4,3,64,33,512,256,0.08657035247024573,0.9625291735221829,0.16089612941597353,0.5354796634567891,0.005594155423042942,32,8,10
37,1,37,134.65090084075928,11.504257202148438,0.962,6,4,32,10,128,1536,0.030852629582343485,0.9335482399411783,0.1883847585857224,0.5487958415054341,0.004266602937561198,32,8,10
38,1,38,56.19645714759827,5.800633907318115,0.96,5,2,64,46,128,1024,0.013017747305614048,0.9575947365214504,0.18093312227395775,0.9821590793599595,0.008070769968329698,32,8,10
39,1,39,22.428404569625854,8.671618223190308,0.931,1,3,64,23,128,512,0.1,0.9344312911029221,0.10500844622876496,0.7635124110250224,0.0004392794588865675,32,8,10
40,1,40,109.88006138801575,8.67357587814331,0.957,9,3,64,6,512,512,0.0291410322481344,0.912204595149998,0.13722162923920833,0.5066617194363309,0.001066615776074835,32,8,10
41,1,41,131.67566895484924,8.665467023849487,0.964,6,3,64,9,128,1536,0.06778480060384671,0.9748200707197427,0.13680267813699395,0.884934251273407,0.006552413120344591,32,8,10
42,1,42,23.04809069633484,11.498965501785278,0.457,1,4,64,38,768,256,0.0971321116684463,0.9213524999715917,0.05231671636769457,0.916809224649816,0.0010084030502956597,32,8,10
43,1,43,134.8593327999115,11.538435459136963,0.965,6,4,128,17,128,1280,0.0172260044576825,0.9198791343341649,0.06351279451128214,0.620335694349316,0.006266326640558651,32,8,10
44,1,44,88.0868604183197,8.789078712463379,0.969,4,3,128,33,256,256,0.05498115307154399,0.99,0.12539784584085972,0.8375322059683221,0.006042245159769172,32,8,10
45,1,45,134.76311802864075,11.574594974517822,0.962,6,4,64,45,512,1792,0.025482227215296957,0.9354762534661637,0.15868229608579576,0.34535173929368335,0.008531142706584338,32,8,10
46,1,46,67.77832341194153,11.467350721359253,0.957,3,4,128,3,512,1536,0.019535999477925867,0.9377949888264093,0.06383863448125401,0.7561277758387813,0.0005452079634044411,32,8,10
47,1,47,134.41378927230835,11.51324462890625,0.959,6,4,64,6,256,512,0.05652321424004795,0.983088215947739,0.12703595093481457,0.7227294627418698,0.007691658660740637,32,8,10
48,1,48,156.88103914260864,11.495567083358765,0.964,7,4,32,7,128,1536,0.03261788834378709,0.9269715210613628,0.12283663254818204,0.49443010334651527,0.001488698694204378,32,8,10
49,1,49,92.03863620758057,8.684842348098755,0.962,7,3,128,24,768,256,0.013223036574289884,0.943635191745713,0.09866718567986951,0.251537575744552,0.007460324009566427,32,8,10
50,1,50,100.82437443733215,5.845057487487793,0.968,9,2,128,36,128,1536,0.05789418203246947,0.9253021594589113,0.15868229608579576,0.34535173929368335,0.008531142706584338,32,8,10
51,1,51,134.54441785812378,11.544302701950073,0.963,6,4,64,45,512,1792,0.025482227215296957,0.9354762534661637,0.1672030248536241,0.24504084008349092,0.007734151853719881,32,8,10
52,1,52,67.64071655273438,11.528823375701904,0.953,3,4,64,14,512,1024,0.019703351119410552,0.9612262834041808,0.06705682529561764,0.742055902274819,0.0019193152753454229,32,8,10
53,1,53,23.03024911880493,11.540180206298828,0.912,1,4,128,19,768,512,0.01790785176305865,0.9161112752685328,0.10273136319015416,0.36050995248990336,0.004681482516538514,32,8,10
