,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,22.13536834716797,10.265092849731445,0.854,1,3,32,18,128,1536,0.0523702914827628,0.9430366891876418,0.06980183243202624,0.974500419674581,0.009875346339382052,32,8,10
1,1,1,79.56498169898987,7.05446195602417,0.964,9,2,128,36,256,768,0.09593070028244832,0.9197330627010414,0.10380772320269281,0.29550548928574516,0.0015438641096915935,32,8,10
2,1,2,48.30843138694763,6.444711685180664,0.968,5,2,128,43,512,768,0.00935957092787254,0.9193104740950231,0.14437036585170915,0.5351790776519638,0.007749739953908195,32,8,10
3,1,3,44.451321601867676,13.284180164337158,0.948,2,4,64,42,128,512,0.03511889620605091,0.912736605878009,0.08680711841120445,0.7146124730697551,0.007690845899888553,32,8,10
4,1,4,29.58475422859192,6.830693244934082,0.954,3,2,128,41,768,256,0.028039421728919094,0.9038859194018989,0.19269049127478116,0.5419146173488955,0.007343131650845714,32,8,10
5,1,5,144.7317123413086,12.951915264129639,0.96,7,4,32,20,768,1792,0.047719030520559425,0.9174183875644236,0.0626228348625788,0.8833077345601589,0.001291027211386844,32,8,10
6,1,6,88.33747124671936,6.735735893249512,0.978,9,2,64,4,512,1536,0.04999446270025716,0.9623472847238512,0.09102258594294105,0.31292507486190235,0.00010288996938087522,32,8,10
7,1,7,99.18921208381653,10.110955715179443,0.976,8,3,128,40,512,768,0.054867120379071224,0.9485196938865132,0.09892606699706,0.873144568710448,0.00020001733365496933,32,8,10
8,1,8,52.274704456329346,6.655465126037598,0.954,5,2,128,43,768,768,0.09102319699384631,0.951390246417412,0.14740903302460404,0.9707795248619209,0.0025963507683407264,32,8,10
9,1,9,22.134026527404785,6.571263790130615,0.924,2,2,32,15,128,768,0.08478112855324292,0.9834766379252852,0.053625299934916805,0.4200052443154796,0.002282203598925124,32,8,10
10,1,10,98.65281939506531,6.784943580627441,0.962,9,2,64,15,128,768,0.08478112855324292,0.9834766379252852,0.053625299934916805,0.4200052443154796,0.002282203598925124,32,8,10
