,precision,recall,f1-score,support
0,0.37681159420289856,0.45614035087719296,0.4126984126984127,57.0
1,0.35555555555555557,0.3902439024390244,0.37209302325581395,41.0
2,0.20408163265306123,0.19607843137254902,0.2,51.0
3,0.26666666666666666,0.08163265306122448,0.125,49.0
4,0.18181818181818182,0.18181818181818182,0.18181818181818182,44.0
5,0.18421052631578946,0.14,0.1590909090909091,50.0
6,0.3564356435643564,0.6428571428571429,0.4585987261146497,56.0
7,0.48484848484848486,0.3333333333333333,0.3950617283950617,48.0
8,0.37681159420289856,0.45614035087719296,0.4126984126984127,57.0
9,0.4489795918367347,0.3728813559322034,0.4074074074074074,59.0
accuracy,0.333984375,0.333984375,0.333984375,0.333984375
macro avg,0.32362194716646275,0.3251125702568045,0.3124466801478849,512.0
weighted avg,0.3280128417878302,0.333984375,0.3188759904649868,512.0
