,precision,recall,f1-score,support
0,0.85,0.9107142857142857,0.8793103448275861,56.0
1,0.9629629629629629,0.9811320754716981,0.9719626168224299,53.0
2,0.671875,0.6056338028169014,0.637037037037037,71.0
3,0.8666666666666667,0.8478260869565217,0.8571428571428571,46.0
4,0.6231884057971014,0.7413793103448276,0.6771653543307088,58.0
5,0.8809523809523809,0.925,0.9024390243902439,40.0
6,0.5,0.44680851063829785,0.47191011235955055,47.0
7,0.8723404255319149,0.8541666666666666,0.8631578947368421,48.0
8,0.9743589743589743,0.8444444444444444,0.9047619047619048,45.0
9,0.86,0.8958333333333334,0.8775510204081632,48.0
accuracy,0.796875,0.796875,0.796875,0.796875
macro avg,0.8062344816270001,0.8052938516386977,0.8042438166817323,512.0
weighted avg,0.7970475502924153,0.796875,0.7953805459161531,512.0
