,precision,recall,f1-score,support
0,0.9333333333333333,1.0,0.9655172413793104,42.0
1,1.0,1.0,1.0,69.0
2,1.0,0.9642857142857143,0.9818181818181818,56.0
3,0.9782608695652174,0.9375,0.9574468085106383,48.0
4,0.9811320754716981,0.9285714285714286,0.9541284403669724,56.0
5,0.9259259259259259,0.9615384615384616,0.9433962264150944,52.0
6,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
7,0.96,0.96,0.96,50.0
8,0.9743589743589743,0.95,0.9620253164556962,40.0
9,0.9,0.9818181818181818,0.9391304347826087,55.0
accuracy,0.962890625,0.962890625,0.962890625,0.962890625
macro avg,0.9629201654845625,0.9615531968031968,0.9616951021821526,512.0
weighted avg,0.9642086055477218,0.962890625,0.9630184775503117,512.0
