,precision,recall,f1-score,support
0,0.39215686274509803,0.3508771929824561,0.3703703703703704,57.0
1,0.3125,0.24390243902439024,0.273972602739726,41.0
2,0.2830188679245283,0.29411764705882354,0.2884615384615385,51.0
3,0.1518987341772152,0.24489795918367346,0.1875,49.0
4,0.1724137931034483,0.11363636363636363,0.136986301369863,44.0
5,0.24324324324324326,0.18,0.20689655172413796,50.0
6,0.35,0.5,0.4117647058823529,56.0
7,0.32432432432432434,0.25,0.2823529411764706,48.0
8,0.34328358208955223,0.40350877192982454,0.3709677419354838,57.0
9,0.425531914893617,0.3389830508474576,0.3773584905660377,59.0
accuracy,0.30078125,0.30078125,0.30078125,0.30078125
macro avg,0.29983713225010267,0.2919923424662989,0.2906631244225981,512.0
weighted avg,0.30592172890510627,0.30078125,0.2981178282637898,512.0
