,precision,recall,f1-score,support
0,0.8387096774193549,0.9285714285714286,0.8813559322033899,56.0
1,0.9629629629629629,0.9811320754716981,0.9719626168224299,53.0
2,0.7076923076923077,0.647887323943662,0.676470588235294,71.0
3,0.8333333333333334,0.8695652173913043,0.851063829787234,46.0
4,0.65625,0.7241379310344828,0.6885245901639345,58.0
5,0.9230769230769231,0.9,0.9113924050632911,40.0
6,0.48717948717948717,0.40425531914893614,0.4418604651162791,47.0
7,0.88,0.9166666666666666,0.8979591836734694,48.0
8,0.9772727272727273,0.9555555555555556,0.9662921348314608,45.0
9,0.9148936170212766,0.8958333333333334,0.9052631578947369,48.0
accuracy,0.814453125,0.814453125,0.814453125,0.814453125
macro avg,0.8181371035958372,0.8223604851117068,0.8192144903791518,512.0
weighted avg,0.8097645416344043,0.814453125,0.8110228155958825,512.0
