,precision,recall,f1-score,support
0,0.9333333333333333,1.0,0.9655172413793104,42.0
1,1.0,1.0,1.0,69.0
2,1.0,0.9642857142857143,0.9818181818181818,56.0
3,0.9782608695652174,0.9375,0.9574468085106383,48.0
4,0.9629629629629629,0.9285714285714286,0.9454545454545454,56.0
5,0.9245283018867925,0.9423076923076923,0.9333333333333333,52.0
6,0.9534883720930233,0.9318181818181818,0.942528735632184,44.0
7,0.96,0.96,0.96,50.0
8,0.9487179487179487,0.925,0.9367088607594937,40.0
9,0.9152542372881356,0.9818181818181818,0.9473684210526316,55.0
accuracy,0.958984375,0.958984375,0.958984375,0.958984375
macro avg,0.9576546025847412,0.95713011988012,0.957017612794032,512.0
weighted avg,0.9597638842477109,0.958984375,0.9590130057873796,512.0
