,precision,recall,f1-score,support
0,0.9130434782608695,1.0,0.9545454545454545,42.0
1,1.0,1.0,1.0,69.0
2,1.0,0.9642857142857143,0.9818181818181818,56.0
3,0.9772727272727273,0.8958333333333334,0.9347826086956522,48.0
4,0.9811320754716981,0.9285714285714286,0.9541284403669724,56.0
5,0.8928571428571429,0.9615384615384616,0.9259259259259259,52.0
6,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
7,0.9411764705882353,0.96,0.9504950495049505,50.0
8,0.9459459459459459,0.875,0.9090909090909091,40.0
9,0.9,0.9818181818181818,0.9391304347826087,55.0
accuracy,0.953125,0.953125,0.953125,0.953125
macro avg,0.9527618316587094,0.9498865301365301,0.9503405376823679,512.0
weighted avg,0.9550350136145791,0.953125,0.9531556336383546,512.0
