,precision,recall,f1-score,support
0,1.0,0.30952380952380953,0.4727272727272727,42.0
1,0.1751269035532995,1.0,0.29805615550755943,69.0
2,0.0,0.0,0.0,56.0
3,0.0,0.0,0.0,48.0
4,0.8947368421052632,0.30357142857142855,0.4533333333333333,56.0
5,0.2597402597402597,0.38461538461538464,0.3100775193798449,52.0
6,0.0,0.0,0.0,44.0
7,0.0,0.0,0.0,50.0
8,0.0,0.0,0.0,40.0
9,0.0,0.0,0.0,55.0
accuracy,0.232421875,0.232421875,0.232421875,0.232421875
macro avg,0.23296040053988226,0.19977106227106228,0.15341942809480105,512.0
weighted avg,0.2298740488468084,0.232421875,0.16002171456833136,512.0
